Nrr1,Clsdt,Nrrdata
NRI01,2011/9/27,3.5
NRI01,2011/9/28,3.5
NRI01,2011/9/29,3.5
NRI01,2011/9/30,3.5
NRI01,2011/10/1,3.5
NRI01,2011/10/2,3.5
NRI01,2011/10/3,3.5
NRI01,2011/10/4,3.5
NRI01,2011/10/5,3.5
NRI01,2011/10/6,3.5
NRI01,2011/10/7,3.5
NRI01,2011/10/8,3.5
NRI01,2011/10/9,3.5
NRI01,2011/10/10,3.5
NRI01,2011/10/11,3.5
NRI01,2011/10/12,3.5
NRI01,2011/10/13,3.5
NRI01,2011/10/14,3.5
NRI01,2011/10/15,3.5
NRI01,2011/10/16,3.5
NRI01,2011/10/17,3.5
NRI01,2011/10/18,3.5
NRI01,2011/10/19,3.5
NRI01,2011/10/20,3.5
NRI01,2011/10/21,3.5
NRI01,2011/10/22,3.5
NRI01,2011/10/23,3.5
NRI01,2011/10/24,3.5
NRI01,2011/10/25,3.5
NRI01,2011/10/26,3.5
NRI01,2011/10/27,3.5
NRI01,2011/10/28,3.5
NRI01,2011/10/29,3.5
NRI01,2011/10/30,3.5
NRI01,2011/10/31,3.5
NRI01,2011/11/1,3.5
NRI01,2011/11/2,3.5
NRI01,2011/11/3,3.5
NRI01,2011/11/4,3.5
NRI01,2011/11/5,3.5
NRI01,2011/11/6,3.5
NRI01,2011/11/7,3.5
NRI01,2011/11/8,3.5
NRI01,2011/11/9,3.5
NRI01,2011/11/10,3.5
NRI01,2011/11/11,3.5
NRI01,2011/11/12,3.5
NRI01,2011/11/13,3.5
NRI01,2011/11/14,3.5
NRI01,2011/11/15,3.5
NRI01,2011/11/16,3.5
NRI01,2011/11/17,3.5
NRI01,2011/11/18,3.5
NRI01,2011/11/19,3.5
NRI01,2011/11/20,3.5
NRI01,2011/11/21,3.5
NRI01,2011/11/22,3.5
NRI01,2011/11/23,3.5
